,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
74,0nyrltZrQGAJMBZc1bYvuQ,Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,1991,250200,50,0.883,0.225,0.883,0.664,2.3e-06,0.941,-10.395,0.411,118.104,4
75,4w7lkCQaEtqGwRMuDAI7ok,Калинка - малинка,Сборник 2,Бурёнка Даша,2017-11-11,141686,26,0.494,0.62,0.494,0.712,0.0,0.339,-7.225,0.0405,114.151,4
76,3vnGRHbTtEJXprw7MzJ8H7,too all the ladies in the place,she says it's too much,Bassti,2017-07-14,125933,54,0.699,0.94,0.699,0.117,0.109,0.14,-17.311,0.392,82.998,4
77,0oks4FnzhNp5QPTZtoet7c,Giorgio by Moroder,Random Access Memories,Daft Punk,2013-05-17,544626,61,0.74,0.0692,0.74,0.682,0.53,0.381,-10.42,0.0504,113.201,4
78,0UWa0AdUscdQUI7mjjx6G1,2049,Blade Runner 2049 (Original Motion Picture Soundtrack),Hans Zimmer,2017-10-05,217793,52,0.0854,0.07,0.0854,0.166,0.882,0.117,-19.743,0.0429,66.695,3
79,6pWgRkpqVfxnj3WuIcJ7WP,Cornfield Chase,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Hans Zimmer,2014-11-18,126959,67,0.18,0.951,0.18,0.226,0.982,0.0998,-16.457,0.042,94.079,4
80,2nNrKyHU5JnQ8YkrmH0UgG,Little Taste of Heaven,Roman Candles,Leach,2015-05-15,236230,53,0.464,0.295,0.464,0.613,0.447,0.0585,-9.82,0.31,79.975,4
81,64hujgSlQDUajo6bSGRfyG,Ooh Child,Crooklyn Volume 1 (Music From The Motion Picture),Various Artists,1994-01-01,197040,0,0.498,0.00404,0.498,0.595,8.37e-05,0.64,-9.461,0.0479,87.365,4
82,5a8aSgJQmTJXrnAcEa1Kqv,Прованс,Точки расставлены,Yolka,2014-11-14,204753,43,0.626,0.361,0.626,0.859,0.0,0.101,-4.044,0.0322,99.967,4
83,19wgIwKRVTuKbKJB0lnCG5,The King,The King,Timmy Trumpet,2020-07-03,153200,56,0.797,0.0961,0.797,0.656,0.49,0.0461,-5.74,0.0948,149.998,4
84,5iFhkFf9JLA3XiROdYsg1i,7 элемент,Философия чуда,Vitas,2001,250000,54,0.717,0.371,0.717,0.8,0.158,0.327,-5.794,0.0497,129.642,4
85,3SOTIisLXPEAZZ8hpvX9p5,Pala Tute,Trans-Continental Hustle,Gogol Bordello,2010-01-01,245093,27,0.643,0.00598,0.643,0.916,6.11e-06,0.056,-3.12,0.0947,125.768,4
86,7s4JCyY8YIZSsKvtwStBQ6,Rain King,August And Everything After,Counting Crows,1993-01-01,255773,53,0.479,0.507,0.479,0.883,0.0,0.305,-6.744,0.0649,78.592,4
87,3GwIz1pLK6M2M0qp032McP,Anna Begins,August And Everything After,Counting Crows,1993-01-01,271173,48,0.511,0.373,0.511,0.382,0.000353,0.08,-8.468,0.0453,113.423,5
88,5M7oyXhGtTPA4TuCimV47C,No One Survives,Stench,Nekrogoblikon,2011-07-19,256119,39,0.239,2.2e-05,0.239,0.989,0.614,0.492,-4.563,0.275,169.922,4
89,1dfHpGeaXunLRNvzSZOZtc,Show Yourself,Emperor of Sand,Mastodon,2017-03-31,182893,52,0.468,4.99e-06,0.468,0.977,0.0213,0.0543,-4.198,0.0645,134.996,4
90,5KtLPs8pkSRKsnOZOmIg8k,Powercore,power,Nekrogoblikon,2013-08-27,236093,41,0.393,0.004,0.393,0.991,0.0,0.135,-4.35,0.348,199.907,4
91,4F4TGsDYacEbw4PLAIyJ2e,Skibidi,"Antipositive, Pt. 2",Little Big,2018-10-05,163282,59,0.872,8.14e-05,0.872,0.758,0.387,0.0632,-6.006,0.0542,131.995,4
92,5Og3LD4nFpB2ot0WSS05xf,Look Around,Four,Blues Traveler,1994-01-01,341760,31,0.537,0.305,0.537,0.662,0.0103,0.152,-6.84,0.0301,127.038,4
93,3umt5o0TAOycqVfhqNW4I9,Sister,Are You Gonna Go My Way,Lenny Kravitz,1993-03-09,424933,40,0.616,0.0103,0.616,0.335,0.00823,0.0675,-14.415,0.0345,138.008,4
94,5Xl8wvp7rKr5lEDUxlGDnB,"White, Discussion",Throwing Copper,Live,1994-01-01,366146,35,0.434,0.00173,0.434,0.907,0.00803,0.518,-6.225,0.0524,94.41,4
95,0LAcM6I7ijW4VVW0aytl1t,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),Metallica,1988-09-07,446145,66,0.438,0.000668,0.438,0.687,0.0801,0.42,-9.15,0.0619,103.01,3
96,57MflfPN3ObQQAQtPUp0WF,Romeo and Juliet,Making Movies,Dire Straits,1980-10-17,361395,53,0.602,0.437,0.602,0.574,0.00415,0.0751,-8.169,0.0278,87.318,4
97,6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,Dire Straits,Dire Straits,1978-10-07,350400,65,0.73,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217,4
98,3SdTKo2uVsxFblQjpScoHy,Stand by Me,Don't Play That Song (Mono),Ben E. King,1962-08-20,180055,76,0.65,0.57,0.65,0.306,7.07e-06,0.0707,-9.443,0.0393,118.068,4
99,7pX7v3nQCz2bzPI02cbLmB,Cookie Thumper!,Donker Mag,Die Antwoord,2014-06-03,200225,54,0.784,0.0891,0.784,0.795,0.0,0.326,-4.159,0.225,133.938,4
100,6znkBTmxxczNEvXrrK3zpY,The Beauty Of Gray,Mental Jewelry,Live,1991-01-01,252906,35,0.701,0.0765,0.701,0.545,0.0,0.106,-10.207,0.101,128.83,4
101,3vFk6g15YAzFtpJFRKBlIW,The Dance,Strummin' On Garth,Brooks Jefferson,2015-03-13,219242,54,0.539,0.811,0.539,0.374,0.000464,0.11,-7.434,0.0273,135.113,4
102,7rmUSOrOLRBzI8Uq63qYcR,Baby's on Fire,Ten$ion,Die Antwoord,2012-01-31,236840,61,0.829,0.0521,0.829,0.844,0.00148,0.171,-4.329,0.0966,130.04,4
103,70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Piano Man (Legacy Edition),Billy Joel,1973-11-07,339000,74,0.331,0.605,0.331,0.55,3.96e-06,0.192,-6.483,0.0272,177.734,3
104,38zsOOcu31XbbYj9BIPUF1,Your Song,Elton John,Elton John,1970-04-10,241786,76,0.554,0.828,0.554,0.315,5.53e-06,0.101,-11.028,0.0298,128.157,4
