,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
143,"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",Moulin Rouge,Various Artists,1/1/2001,283933,48,0.322,0.524,0.322,0.473,0.0457,0.222,-7.644,0.0466,128.987,4
144,Jar of Hearts,lovestrong.,Christina Perri,5/10/2011,246587,72,0.349,0.726,0.349,0.348,0,0.12,-6.142,0.0316,74.541,4
145,In Your Eyes - 2012 Remaster,So (2012 Remastered),Peter Gabriel,5/19/1986,330373,54,0.621,0.0632,0.621,0.645,9.63E-06,0.0703,-9.37,0.0352,89.284,4
146,Say Something,Is There Anybody Out There?,A Great Big World,1/20/2014,229400,76,0.407,0.857,0.407,0.147,2.89E-06,0.0913,-8.822,0.0355,141.284,3
147,The Boys Of Summer,Building The Perfect Beast,Don Henley,1/1/1984,288733,76,0.516,0.501,0.516,0.549,0.00572,0.184,-13.741,0.0373,176.941,4
148,Desperado - 2013 Remaster,Desperado (2013 Remaster),Eagles,1973,213712,67,0.228,0.946,0.228,0.224,0.000222,0.273,-12.749,0.0311,60.3,4
149,Joey,Bloodletting,Concrete Blonde,9/16/1990,248959,57,0.607,0.0151,0.607,0.788,0.0136,0.173,-5.326,0.0293,118.696,4
150,Life on Mars? - 2015 Remaster,Hunky Dory (2015 Remaster),David Bowie,12/17/1971,235986,71,0.442,0.639,0.442,0.384,7.70E-05,0.0539,-14.635,0.0414,123.281,4
151,This Must Be the Place (Naive Melody) - 2005 Remaster,Speaking in Tongues (Deluxe Version),Talking Heads,5/31/1983,296146,71,0.942,0.331,0.942,0.641,0.179,0.028,-10.15,0.0333,114.443,4
152,Ooh La La,Ooh La La,Faces,1973,214080,69,0.601,0.579,0.601,0.574,1.14E-05,0.216,-8.166,0.03,147.964,4
153,Virtual Insanity - Remastered,High Times: Singles 1992-2006 (Remastered),Jamiroquai,11/6/2006,229360,69,0.662,0.127,0.662,0.949,0,0.135,-4.758,0.108,91.954,4
154,Feel Good Inc.,Demon Days,Gorillaz,5/23/2005,222640,80,0.818,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4
155,Jealous,Jealous - EP,Labrinth,11/23/2014,287693,77,0.439,0.874,0.439,0.153,0,0.107,-8.95,0.0479,116.76,3
156,Monophobia - Extended Mix,mau5ville: Level 1,deadmau5,7/13/2018,600000,38,0.664,0.0217,0.664,0.573,0.0283,0.107,-6.875,0.0473,128.003,4
157,Murdermile,No Wow,The Kills,2/19/2005,265306,25,0.76,0.369,0.76,0.847,0.139,0.0777,-5.589,0.0428,144.116,4
